Country,position,Trait,DATE,Prop
Sweden,First,Digestive diseases,2008,0
Sweden,First,Mental disorders,2008,0.0266666666666667
Sweden,First,Musculoskeletal disorders,2008,0
Sweden,First,Neurological disorders,2008,0
Sweden,Senior,All traits,2008,0
Sweden,Senior,Cancer,2008,0
Sweden,Senior,Chronic respiratory disease,2008,0
Sweden,Senior,CVD,2008,0
Sweden,Senior,Diabetes and CKD,2008,0
Sweden,Senior,Digestive diseases,2008,0
Sweden,Senior,Musculoskeletal disorders,2008,0
Sweden,Senior,Skin disease,2008,0
Switzerland,All,All traits,2008,0.00959758931589917
Switzerland,All,Mental disorders,2008,0.0182153846153846
Switzerland,Senior,Neurological disorders,2008,0
Turkey,Senior,Musculoskeletal disorders,2008,0
Turkey,Senior,Neurological disorders,2008,0
Turkey,Senior,Skin disease,2008,0
Uganda,Senior,Cancer,2008,0
United Arab Emirates,Senior,Substance use,2008,0
United Kingdom,All,All traits,2008,0.207639194028591
United Kingdom,All,Cancer,2008,0.274136070784639
United Kingdom,All,Chronic respiratory disease,2008,0.137698628983466
United Kingdom,All,CVD,2008,0.0409090909090909
United Kingdom,All,Diabetes and CKD,2008,0.287900874635569
United Kingdom,All,Digestive diseases,2008,0.317393267649153
United Kingdom,All,Mental disorders,2008,0.194380089180768
United Kingdom,All,Musculoskeletal disorders,2008,0.170358065706903
United Kingdom,All,Neurological disorders,2008,0.153129859012212
United Kingdom,All,Skin disease,2008,0.162755102040816
United Kingdom,First,All traits,2008,0.251877934272301
United Kingdom,First,Cancer,2008,0.322222222222222
United Kingdom,First,Chronic respiratory disease,2008,0.111111111111111
United Kingdom,First,CVD,2008,0
United Kingdom,First,Diabetes and CKD,2008,0.321428571428571
United Kingdom,First,Digestive diseases,2008,0.483333333333333
United Kingdom,First,Mental disorders,2008,0.206666666666667
United Kingdom,First,Musculoskeletal disorders,2008,0.333333333333333
United Kingdom,First,Neurological disorders,2008,0.166666666666667
United Kingdom,First,Skin disease,2008,0.214285714285714
United Kingdom,First,Substance use,2008,0
United Kingdom,Senior,All traits,2008,0.206572769953052
United Kingdom,Senior,Cancer,2008,0.342592592592593
United Kingdom,Senior,Chronic respiratory disease,2008,0.12962962962963
United Kingdom,Senior,CVD,2008,0
United Kingdom,Senior,Diabetes and CKD,2008,0.333333333333333
United Kingdom,Senior,Digestive diseases,2008,0.377777777777778
United Kingdom,Senior,Mental disorders,2008,0.133333333333333
United Kingdom,Senior,Musculoskeletal disorders,2008,0.333333333333333
United Kingdom,Senior,Neurological disorders,2008,0.142857142857143
United Kingdom,Senior,Skin disease,2008,0.214285714285714
United Kingdom,Senior,Substance use,2008,0
United States,All,All traits,2008,0.318582672952016
United States,All,Cancer,2008,0.293379956278492
United States,All,Chronic respiratory disease,2008,0.235360731747128
United States,All,CVD,2008,0.174242424242424
United States,All,Diabetes and CKD,2008,0.295081524673361
United States,All,Digestive diseases,2008,0.222561388726391
United States,All,Mental disorders,2008,0.398132698805583
United States,All,Musculoskeletal disorders,2008,0.292543373938723
United States,All,Neurological disorders,2008,0.525525525525526
United States,All,Skin disease,2008,0.218184910327768
United States,All,Substance use,2008,0.453703703703704
United States,First,All traits,2008,0.396713615023474
United States,First,Cancer,2008,0.319444444444444
United States,First,Chronic respiratory disease,2008,0.25
United States,First,CVD,2008,0.5
United States,First,Diabetes and CKD,2008,0.392857142857143
United States,First,Digestive diseases,2008,0.25
United States,First,Mental disorders,2008,0.536666666666667
United States,First,Musculoskeletal disorders,2008,0.333333333333333
United States,First,Neurological disorders,2008,0.619047619047619
United States,First,Skin disease,2008,0.214285714285714
United States,First,Substance use,2008,0.625
United States,Senior,All traits,2008,0.365023474178404
United States,Senior,Cancer,2008,0.268518518518519
United States,Senior,Chronic respiratory disease,2008,0.203703703703704
United States,Senior,CVD,2008,0.5
United States,Senior,Diabetes and CKD,2008,0.238095238095238
United States,Senior,Digestive diseases,2008,0.244444444444444
United States,Senior,Mental disorders,2008,0.48
United States,Senior,Musculoskeletal disorders,2008,0.333333333333333
United States,Senior,Neurological disorders,2008,0.571428571428571
United States,Senior,Skin disease,2008,0.214285714285714
United States,Senior,Substance use,2008,0.375
Australia,All,All traits,2009,0.0164233068531809
Australia,All,Cancer,2009,0.0188278676492634
Australia,All,CVD,2009,0.00740740740740741
Australia,All,Diabetes and CKD,2009,0.00793650793650794
Australia,All,Digestive diseases,2009,0.0288410419989367
Australia,All,Mental disorders,2009,0.00765358211582468
Australia,All,Neurological disorders,2009,0.00487179487179487
Australia,All,Skin disease,2009,0.0493972746331237
Australia,First,All traits,2009,0.020105143506678
Australia,First,Cancer,2009,0.00905797101449275
Australia,First,Chronic respiratory disease,2009,0
Australia,First,CVD,2009,0.0277777777777778
Australia,First,Diabetes and CKD,2009,0
Australia,First,Digestive diseases,2009,0.0454545454545455
Australia,First,Musculoskeletal disorders,2009,0
Australia,First,Neurological disorders,2009,0
Australia,First,Skin disease,2009,0.037037037037037
Australia,First,Substance use,2009,0
Australia,Senior,All traits,2009,0.0130718954248366
Australia,Senior,Cancer,2009,0
Australia,Senior,Chronic respiratory disease,2009,0
Australia,Senior,CVD,2009,0
Australia,Senior,Diabetes and CKD,2009,0
Australia,Senior,Digestive diseases,2009,0.0454545454545455
Australia,Senior,Musculoskeletal disorders,2009,0
Australia,Senior,Neurological disorders,2009,0
Australia,Senior,Skin disease,2009,0.037037037037037
Australia,Senior,Substance use,2009,0
Austria,First,Cancer,2009,0
Austria,Senior,Cancer,2009,0
Belgium,All,All traits,2009,0.00254039144157435
Belgium,All,Neurological disorders,2009,0.0131782945736434
Belgium,First,All traits,2009,0
Belgium,First,Neurological disorders,2009,0
Belgium,Senior,Musculoskeletal disorders,2009,0
Belgium,Senior,Neurological disorders,2009,0
Benin,First,Chronic respiratory disease,2009,0
Benin,First,Skin disease,2009,0
Canada,All,All traits,2009,0.0196399694726606
Canada,All,Cancer,2009,0.0056349066739501
Canada,All,Chronic respiratory disease,2009,0.00490196078431373
Canada,All,CVD,2009,0.0022002200220022
Canada,All,Diabetes and CKD,2009,0.0665816326530612
Canada,All,Digestive diseases,2009,0.0592274521844589
Canada,All,Mental disorders,2009,0.00887161084529505
Canada,All,Musculoskeletal disorders,2009,0.0588235294117647
Canada,All,Skin disease,2009,0.0106481481481481
Canada,First,All traits,2009,0.0218253968253968
Canada,First,Cancer,2009,0
Canada,First,Chronic respiratory disease,2009,0
Canada,First,CVD,2009,0
Canada,First,Diabetes and CKD,2009,0.0476190476190476
Canada,First,Digestive diseases,2009,0.0898268398268398
Canada,First,Mental disorders,2009,0.0131578947368421
Canada,First,Musculoskeletal disorders,2009,0
Canada,First,Neurological disorders,2009,0
Canada,First,Skin disease,2009,0
Canada,Senior,All traits,2009,0.0212418300653595
Canada,Senior,Cancer,2009,0
Canada,Senior,Chronic respiratory disease,2009,0
Canada,Senior,CVD,2009,0
Canada,Senior,Diabetes and CKD,2009,0.0476190476190476
Canada,Senior,Digestive diseases,2009,0.0757575757575757
Canada,Senior,Musculoskeletal disorders,2009,0.25
Canada,Senior,Neurological disorders,2009,0
Canada,Senior,Skin disease,2009,0
Chile,First,Neurological disorders,2009,0
Chile,Senior,Chronic respiratory disease,2009,0
Chile,Senior,Neurological disorders,2009,0
China,All,All traits,2009,0.0426739641583717
China,All,Cancer,2009,0.0160486412203312
China,All,Chronic respiratory disease,2009,0.0700571895424837
China,All,CVD,2009,0.0638316025547267
China,All,Digestive diseases,2009,0.0833333333333333
China,All,Mental disorders,2009,0.000403307118370639
China,All,Skin disease,2009,0.108623548922056
China,First,All traits,2009,0.0392156862745098
China,First,Cancer,2009,0
China,First,Chronic respiratory disease,2009,0.0833333333333333
China,First,CVD,2009,0.0555555555555556
China,First,Diabetes and CKD,2009,0
China,First,Digestive diseases,2009,0.0909090909090909
China,First,Musculoskeletal disorders,2009,0
China,First,Neurological disorders,2009,0
China,First,Skin disease,2009,0.111111111111111
China,First,Substance use,2009,0
China,Senior,All traits,2009,0.0326797385620915
China,Senior,Cancer,2009,0
China,Senior,Chronic respiratory disease,2009,0.0416666666666667
China,Senior,CVD,2009,0.0555555555555556
China,Senior,Diabetes and CKD,2009,0
China,Senior,Digestive diseases,2009,0.0681818181818182
China,Senior,Mental disorders,2009,0.0175438596491228
China,Senior,Musculoskeletal disorders,2009,0
China,Senior,Neurological disorders,2009,0
China,Senior,Skin disease,2009,0.0555555555555556
China,Senior,Substance use,2009,0
Denmark,All,All traits,2009,0.00657746454947398
Denmark,All,Cancer,2009,0.00347356469974531
Denmark,All,Chronic respiratory disease,2009,0.00387596899224806
Denmark,All,Diabetes and CKD,2009,0.0533730158730159
Denmark,All,Digestive diseases,2009,0.018190709916062
Denmark,All,Mental disorders,2009,0.00786448880822747
Denmark,First,All traits,2009,0.00326797385620915
Denmark,First,Cancer,2009,0
Denmark,First,Chronic respiratory disease,2009,0
Denmark,First,CVD,2009,0
Denmark,First,Diabetes and CKD,2009,0.0476190476190476
Denmark,First,Digestive diseases,2009,0.0151515151515152
Denmark,First,Musculoskeletal disorders,2009,0
Denmark,First,Neurological disorders,2009,0
Denmark,First,Substance use,2009,0
Denmark,Senior,All traits,2009,0.00326797385620915
Denmark,Senior,Cancer,2009,0
Denmark,Senior,Chronic respiratory disease,2009,0
Denmark,Senior,CVD,2009,0
Denmark,Senior,Diabetes and CKD,2009,0.0476190476190476
Denmark,Senior,Digestive diseases,2009,0.0151515151515152
Denmark,Senior,Musculoskeletal disorders,2009,0
Denmark,Senior,Neurological disorders,2009,0
Egypt,First,Musculoskeletal disorders,2009,0
Egypt,Senior,Musculoskeletal disorders,2009,0
Finland,All,All traits,2009,0.00587956579707079
Finland,All,Cancer,2009,0.00785116749270435
Finland,All,Chronic respiratory disease,2009,0.00122549019607843
Finland,All,CVD,2009,0.00224131608563155
Finland,All,Diabetes and CKD,2009,0.0107142857142857
Finland,All,Digestive diseases,2009,0.00404929577464789
Finland,All,Mental disorders,2009,0.00638435168380722
Finland,All,Neurological disorders,2009,0.005
Finland,First,All traits,2009,0.000426257459505541
Finland,First,Cancer,2009,0.00181159420289855
Finland,First,Chronic respiratory disease,2009,0
Finland,First,CVD,2009,0
Finland,First,Diabetes and CKD,2009,0
Finland,First,Digestive diseases,2009,0
Finland,First,Neurological disorders,2009,0
Finland,First,Skin disease,2009,0
Finland,First,Substance use,2009,0
Finland,Senior,All traits,2009,0
Finland,Senior,Cancer,2009,0
Finland,Senior,Chronic respiratory disease,2009,0
Finland,Senior,CVD,2009,0
Finland,Senior,Diabetes and CKD,2009,0
Finland,Senior,Digestive diseases,2009,0
Finland,Senior,Neurological disorders,2009,0
Finland,Senior,Skin disease,2009,0
Finland,Senior,Substance use,2009,0
France,All,All traits,2009,0.0282196106669317
France,All,Cancer,2009,0.0220348957037261
France,All,Chronic respiratory disease,2009,0.00612745098039216
France,All,CVD,2009,0.0759223531331663
France,All,Diabetes and CKD,2009,0.0490079365079365
France,All,Digestive diseases,2009,0.0186363833957731
France,All,Mental disorders,2009,0.0274561403508772
France,All,Neurological disorders,2009,0.04
France,All,Skin disease,2009,0.0303905582731579
France,First,All traits,2009,0.0326797385620915
France,First,Cancer,2009,0
France,First,Chronic respiratory disease,2009,0
France,First,CVD,2009,0.111111111111111
France,First,Diabetes and CKD,2009,0.0476190476190476
France,First,Digestive diseases,2009,0.0151515151515152
France,First,Mental disorders,2009,0.0526315789473684
France,First,Neurological disorders,2009,0.0833333333333333
France,First,Skin disease,2009,0
France,Senior,All traits,2009,0.0212418300653595
France,Senior,Cancer,2009,0
France,Senior,Chronic respiratory disease,2009,0
France,Senior,CVD,2009,0.0555555555555556
France,Senior,Diabetes and CKD,2009,0.0238095238095238
France,Senior,Digestive diseases,2009,0.00757575757575758
France,Senior,Mental disorders,2009,0.0526315789473684
France,Senior,Neurological disorders,2009,0.0833333333333333
France,Senior,Skin disease,2009,0
Germany,All,All traits,2009,0.0754962065681842
Germany,All,Cancer,2009,0.0281119304483555
Germany,All,Chronic respiratory disease,2009,0.0194972045665812
Germany,All,CVD,2009,0.0977637920406009
Germany,All,Digestive diseases,2009,0.0763768532486101
Germany,All,Mental disorders,2009,0.117121386998038
Germany,All,Neurological disorders,2009,0.121908264504751
Germany,All,Skin disease,2009,0.108375695957395
Germany,All,Substance use,2009,0.706896551724138
Germany,First,All traits,2009,0.0551470588235294
Germany,First,Cancer,2009,0
Germany,First,Chronic respiratory disease,2009,0
Germany,First,CVD,2009,0.0787037037037037
Germany,First,Diabetes and CKD,2009,0
Germany,First,Digestive diseases,2009,0.0454545454545455
Germany,First,Mental disorders,2009,0.0935672514619883
Germany,First,Musculoskeletal disorders,2009,0
Germany,First,Neurological disorders,2009,0.125
Germany,First,Skin disease,2009,0.111111111111111
Germany,First,Substance use,2009,0.833333333333333
Germany,Senior,All traits,2009,0.0602240896358543
Germany,Senior,Cancer,2009,0
Germany,Senior,Chronic respiratory disease,2009,0
Germany,Senior,CVD,2009,0.0634920634920635
Germany,Senior,Diabetes and CKD,2009,0
Germany,Senior,Digestive diseases,2009,0.0909090909090909
Germany,Senior,Mental disorders,2009,0.0789473684210526
Germany,Senior,Musculoskeletal disorders,2009,0
Germany,Senior,Neurological disorders,2009,0.125
Germany,Senior,Skin disease,2009,0.111111111111111
Germany,Senior,Substance use,2009,0.5
Greece,First,Musculoskeletal disorders,2009,0
Greece,Senior,Musculoskeletal disorders,2009,0
Guinea,First,Skin disease,2009,0
Iceland,All,All traits,2009,0.0264481299257958
Iceland,All,Cancer,2009,0.0788398204178003
Iceland,All,Chronic respiratory disease,2009,0.00490196078431373
Iceland,All,CVD,2009,0.0304097199665431
Iceland,All,Diabetes and CKD,2009,0.00732600732600733
Iceland,All,Mental disorders,2009,0.0108892921960073
Iceland,All,Skin disease,2009,0.0549019607843137
Iceland,First,All traits,2009,0.0457516339869281
Iceland,First,Cancer,2009,0.125
Iceland,First,Chronic respiratory disease,2009,0
Iceland,First,CVD,2009,0.0555555555555556
Iceland,First,Diabetes and CKD,2009,0
Iceland,First,Digestive diseases,2009,0
Iceland,First,Mental disorders,2009,0.0350877192982456
Iceland,First,Musculoskeletal disorders,2009,0
Iceland,First,Neurological disorders,2009,0
Iceland,First,Skin disease,2009,0.111111111111111
Iceland,First,Substance use,2009,0
Iceland,Senior,All traits,2009,0.048295985060691
Iceland,Senior,Cancer,2009,0.125
Iceland,Senior,Chronic respiratory disease,2009,0
Iceland,Senior,CVD,2009,0.0792328042328042
Iceland,Senior,Diabetes and CKD,2009,0
Iceland,Senior,Digestive diseases,2009,0
Iceland,Senior,Mental disorders,2009,0.0263157894736842
Iceland,Senior,Musculoskeletal disorders,2009,0
Iceland,Senior,Skin disease,2009,0.111111111111111
Iceland,Senior,Substance use,2009,0
India,First,Cancer,2009,0
India,First,Diabetes and CKD,2009,0
India,First,Digestive diseases,2009,0
India,First,Musculoskeletal disorders,2009,0
India,Senior,All traits,2009,0
India,Senior,Cancer,2009,0
India,Senior,Diabetes and CKD,2009,0
India,Senior,Digestive diseases,2009,0
India,Senior,Musculoskeletal disorders,2009,0
Indonesia,First,Cancer,2009,0
Indonesia,Senior,Cancer,2009,0
Ireland,All,Mental disorders,2009,0.00214198286413709
Ireland,First,All traits,2009,0
Ireland,First,Cancer,2009,0
Ireland,First,Skin disease,2009,0
Ireland,Senior,Cancer,2009,0
Ireland,Senior,Digestive diseases,2009,0
Ireland,Senior,Skin disease,2009,0
Israel,All,Cancer,2009,0.00157232704402516
Israel,All,Skin disease,2009,0.00419287211740042
Israel,First,Chronic respiratory disease,2009,0
Israel,First,Neurological disorders,2009,0
Israel,First,Skin disease,2009,0
Israel,Senior,All traits,2009,0
Israel,Senior,Cancer,2009,0
Israel,Senior,Chronic respiratory disease,2009,0
Israel,Senior,Diabetes and CKD,2009,0
Israel,Senior,Neurological disorders,2009,0
Israel,Senior,Skin disease,2009,0
Italy,All,All traits,2009,0.0162471566508569
Italy,All,Cancer,2009,0.0113691975216753
Italy,All,Chronic respiratory disease,2009,0.00367647058823529
Italy,All,CVD,2009,0.0162787830507189
Italy,All,Digestive diseases,2009,0.0146349751997052
Italy,All,Mental disorders,2009,0.029143430677006
Italy,All,Neurological disorders,2009,0.0375641025641026
Italy,All,Skin disease,2009,0.0121716611172771
Italy,First,All traits,2009,0.0038515406162465
Italy,First,Cancer,2009,0
Italy,First,Chronic respiratory disease,2009,0
Italy,First,CVD,2009,0
Italy,First,Diabetes and CKD,2009,0
Italy,First,Digestive diseases,2009,0.00649350649350649
Italy,First,Mental disorders,2009,0.0131578947368421
Italy,First,Musculoskeletal disorders,2009,0
Italy,First,Neurological disorders,2009,0
Italy,First,Substance use,2009,0
Italy,Senior,All traits,2009,0
Italy,Senior,Cancer,2009,0
Italy,Senior,Chronic respiratory disease,2009,0
Italy,Senior,CVD,2009,0
Italy,Senior,Diabetes and CKD,2009,0
Italy,Senior,Digestive diseases,2009,0
Italy,Senior,Neurological disorders,2009,0
Italy,Senior,Substance use,2009,0
Japan,All,All traits,2009,0.0895709182365757
Japan,All,Cancer,2009,0.0434027777777778
Japan,All,Chronic respiratory disease,2009,0.0361111111111111
Japan,All,CVD,2009,0.0555555555555556
Japan,All,Diabetes and CKD,2009,0.138392857142857
Japan,All,Digestive diseases,2009,0.230308600713012
Japan,All,Mental disorders,2009,0.110014619883041
Japan,All,Neurological disorders,2009,0.0833333333333333
Japan,First,All traits,2009,0.0857843137254902
Japan,First,Cancer,2009,0.0416666666666667
Japan,First,Chronic respiratory disease,2009,0.0416666666666667
Japan,First,CVD,2009,0.0555555555555556
Japan,First,Diabetes and CKD,2009,0.0714285714285714
Japan,First,Digestive diseases,2009,0.204545454545455
Japan,First,Mental disorders,2009,0.105263157894737
Japan,First,Musculoskeletal disorders,2009,0
Japan,First,Neurological disorders,2009,0.0833333333333333
Japan,First,Skin disease,2009,0
Japan,First,Substance use,2009,0
Japan,Senior,All traits,2009,0.0931372549019608
Japan,Senior,Cancer,2009,0.0416666666666667
Japan,Senior,Chronic respiratory disease,2009,0.0833333333333333
Japan,Senior,CVD,2009,0.0555555555555556
Japan,Senior,Diabetes and CKD,2009,0.0714285714285714
Japan,Senior,Digestive diseases,2009,0.25
Japan,Senior,Mental disorders,2009,0.105263157894737
Japan,Senior,Musculoskeletal disorders,2009,0
Japan,Senior,Neurological disorders,2009,0.0833333333333333
Japan,Senior,Skin disease,2009,0
Japan,Senior,Substance use,2009,0
Latvia,First,Diabetes and CKD,2009,0
Latvia,Senior,Diabetes and CKD,2009,0
Lebanon,First,Diabetes and CKD,2009,0
Lebanon,Senior,Chronic respiratory disease,2009,0
Malaysia,First,Chronic respiratory disease,2009,0.0416666666666667
Malaysia,First,Musculoskeletal disorders,2009,0
Mexico,First,Diabetes and CKD,2009,0
Mexico,First,Substance use,2009,0
Mexico,Senior,Diabetes and CKD,2009,0
Mexico,Senior,Substance use,2009,0
Netherlands,All,All traits,2009,0.0216231540767549
Netherlands,All,Cancer,2009,0.0207223292504278
Netherlands,All,CVD,2009,0.0586085818140781
Netherlands,All,Digestive diseases,2009,0.0115590835221117
Netherlands,All,Mental disorders,2009,0.0020165355918532
Netherlands,All,Musculoskeletal disorders,2009,0.147058823529412
Netherlands,All,Neurological disorders,2009,0.00593702987320009
Netherlands,All,Skin disease,2009,0.0256505117770379
Netherlands,First,All traits,2009,0.0107298474945534
Netherlands,First,Cancer,2009,0
Netherlands,First,Chronic respiratory disease,2009,0
Netherlands,First,CVD,2009,0.0407407407407407
Netherlands,First,Digestive diseases,2009,0
Netherlands,First,Mental disorders,2009,0.00584795321637427
Netherlands,First,Musculoskeletal disorders,2009,0
Netherlands,First,Neurological disorders,2009,0.0208333333333333
Netherlands,First,Skin disease,2009,0
Netherlands,First,Substance use,2009,0
Netherlands,Senior,All traits,2009,0.00891690009337068
Netherlands,Senior,Cancer,2009,0
Netherlands,Senior,Chronic respiratory disease,2009,0
Netherlands,Senior,CVD,2009,0.0505291005291005
Netherlands,Senior,Digestive diseases,2009,0
Netherlands,Senior,Musculoskeletal disorders,2009,0
Netherlands,Senior,Neurological disorders,2009,0
Netherlands,Senior,Skin disease,2009,0
Netherlands,Senior,Substance use,2009,0
New Zealand,First,Musculoskeletal disorders,2009,0
Norway,All,All traits,2009,0.00724583354786847
Norway,All,Cancer,2009,0.00598107298474946
Norway,All,Chronic respiratory disease,2009,0.0187908496732026
Norway,All,CVD,2009,0.0103359173126615
Norway,All,Digestive diseases,2009,0.00852272727272727
Norway,All,Mental disorders,2009,0.00291137326073805
Norway,First,All traits,2009,0.00980392156862745
Norway,First,Chronic respiratory disease,2009,0
Norway,First,CVD,2009,0
Norway,First,Diabetes and CKD,2009,0
Norway,First,Digestive diseases,2009,0.0454545454545455
Norway,First,Musculoskeletal disorders,2009,0
Norway,First,Neurological disorders,2009,0
Norway,First,Skin disease,2009,0
Norway,Senior,All traits,2009,0
Norway,Senior,Cancer,2009,0
Norway,Senior,Chronic respiratory disease,2009,0
Norway,Senior,CVD,2009,0
Norway,Senior,Diabetes and CKD,2009,0
Norway,Senior,Digestive diseases,2009,0
Norway,Senior,Musculoskeletal disorders,2009,0
Norway,Senior,Neurological disorders,2009,0
Norway,Senior,Skin disease,2009,0
Poland,All,Cancer,2009,0.00637670249791042
Poland,First,Neurological disorders,2009,0
Poland,Senior,Neurological disorders,2009,0
Portugal,First,CVD,2009,0
Portugal,First,Neurological disorders,2009,0
Portugal,First,Skin disease,2009,0
Portugal,Senior,CVD,2009,0
Portugal,Senior,Neurological disorders,2009,0
Portugal,Senior,Skin disease,2009,0
Qatar,First,Cancer,2009,0
Qatar,Senior,Cancer,2009,0
Qatar,Senior,Musculoskeletal disorders,2009,0
Republic of Korea,First,CVD,2009,0
Republic of Korea,Senior,CVD,2009,0
Saudi Arabia,First,Digestive diseases,2009,0
Singapore,All,All traits,2009,0.00552346422261553
Singapore,All,Cancer,2009,0.000617283950617284
Singapore,All,Chronic respiratory disease,2009,0.00555555555555556
Singapore,All,CVD,2009,0.0259259259259259
Singapore,All,Diabetes and CKD,2009,0.00255102040816327
Singapore,All,Digestive diseases,2009,0.00303030303030303
Singapore,All,Skin disease,2009,0.00248756218905473
Singapore,First,All traits,2009,0.00490196078431373
Singapore,First,Cancer,2009,0
Singapore,First,Chronic respiratory disease,2009,0
Singapore,First,CVD,2009,0.0277777777777778
Singapore,First,Diabetes and CKD,2009,0
Singapore,First,Digestive diseases,2009,0
Singapore,First,Neurological disorders,2009,0
Singapore,First,Skin disease,2009,0
Singapore,Senior,All traits,2009,0.0147058823529412
Singapore,Senior,Cancer,2009,0
Singapore,Senior,Chronic respiratory disease,2009,0
Singapore,Senior,CVD,2009,0.0555555555555556
Singapore,Senior,Diabetes and CKD,2009,0
Singapore,Senior,Digestive diseases,2009,0
Singapore,Senior,Neurological disorders,2009,0
Singapore,Senior,Skin disease,2009,0.0555555555555556
South Africa,First,Musculoskeletal disorders,2009,0
South Africa,Senior,Musculoskeletal disorders,2009,0
South Korea,All,All traits,2009,0.0282141560327835
South Korea,All,Cancer,2009,0.00123456790123457
South Korea,All,Chronic respiratory disease,2009,0.137254901960784
South Korea,All,CVD,2009,0.0359477124183007
South Korea,All,Mental disorders,2009,0.00328947368421053
South Korea,All,Neurological disorders,2009,0.0833333333333333
South Korea,All,Skin disease,2009,0.0718954248366013
South Korea,First,All traits,2009,0.0261437908496732
South Korea,First,Cancer,2009,0
South Korea,First,Chronic respiratory disease,2009,0.125
South Korea,First,CVD,2009,0.0277777777777778
South Korea,First,Diabetes and CKD,2009,0
South Korea,First,Digestive diseases,2009,0
South Korea,First,Musculoskeletal disorders,2009,0
South Korea,First,Neurological disorders,2009,0.0833333333333333
South Korea,First,Skin disease,2009,0.0555555555555556
South Korea,First,Substance use,2009,0
South Korea,Senior,All traits,2009,0.0294117647058824
South Korea,Senior,Cancer,2009,0
South Korea,Senior,Chronic respiratory disease,2009,0.166666666666667
South Korea,Senior,CVD,2009,0.0555555555555556
South Korea,Senior,Diabetes and CKD,2009,0
South Korea,Senior,Digestive diseases,2009,0
South Korea,Senior,Musculoskeletal disorders,2009,0
South Korea,Senior,Neurological disorders,2009,0.0833333333333333
South Korea,Senior,Skin disease,2009,0.111111111111111
South Korea,Senior,Substance use,2009,0
Spain,All,All traits,2009,0.00838756739708226
Spain,All,Cancer,2009,0.0250880042604057
Spain,All,CVD,2009,0.00425818443913357
Spain,All,Digestive diseases,2009,0.000640204865556978
Spain,All,Mental disorders,2009,0.00934059286146401
Spain,All,Neurological disorders,2009,0.01
Spain,All,Skin disease,2009,0.0198791466272043
Spain,First,All traits,2009,0
Spain,First,Cancer,2009,0
Spain,First,Chronic respiratory disease,2009,0
Spain,First,CVD,2009,0
Spain,First,Diabetes and CKD,2009,0
Spain,First,Digestive diseases,2009,0
Spain,First,Musculoskeletal disorders,2009,0
Spain,First,Neurological disorders,2009,0
Spain,First,Skin disease,2009,0
Spain,Senior,All traits,2009,0
Spain,Senior,Cancer,2009,0
Spain,Senior,Chronic respiratory disease,2009,0
Spain,Senior,CVD,2009,0
Spain,Senior,Diabetes and CKD,2009,0
Spain,Senior,Digestive diseases,2009,0
Spain,Senior,Musculoskeletal disorders,2009,0
Spain,Senior,Neurological disorders,2009,0
Spain,Senior,Skin disease,2009,0
Sweden,All,All traits,2009,0.00737381839555399
Sweden,All,Cancer,2009,0.0241541063910852
Sweden,All,CVD,2009,0.00464194374529674
Sweden,All,Diabetes and CKD,2009,0.00178571428571429
Sweden,All,Digestive diseases,2009,0.00262182663884542
Sweden,All,Mental disorders,2009,0.00181488203266788
Sweden,All,Skin disease,2009,0.0149216919472191
Sweden,First,All traits,2009,0
Sweden,First,Cancer,2009,0
Sweden,First,Chronic respiratory disease,2009,0
Sweden,First,CVD,2009,0
Sweden,First,Diabetes and CKD,2009,0
Sweden,First,Digestive diseases,2009,0
Sweden,First,Musculoskeletal disorders,2009,0
Sweden,First,Neurological disorders,2009,0
Sweden,Senior,All traits,2009,0
Sweden,Senior,Cancer,2009,0
Sweden,Senior,Chronic respiratory disease,2009,0
Sweden,Senior,CVD,2009,0
Sweden,Senior,Diabetes and CKD,2009,0
Sweden,Senior,Digestive diseases,2009,0
Sweden,Senior,Musculoskeletal disorders,2009,0
Sweden,Senior,Skin disease,2009,0
Switzerland,All,All traits,2009,0.00143455979772743
Switzerland,All,Chronic respiratory disease,2009,0.00122549019607843
Switzerland,Senior,Neurological disorders,2009,0
Turkey,All,CVD,2009,0.0185185185185185
Turkey,All,Neurological disorders,2009,0.0277777777777778
Turkey,All,Skin disease,2009,0.037037037037037
Turkey,Senior,Musculoskeletal disorders,2009,0
Turkey,Senior,Neurological disorders,2009,0
Turkey,Senior,Skin disease,2009,0
Uganda,Senior,Cancer,2009,0
United Arab Emirates,Senior,Substance use,2009,0
United Kingdom,All,All traits,2009,0.119068873068742
United Kingdom,All,Cancer,2009,0.213455514991962
United Kingdom,All,Chronic respiratory disease,2009,0.0981204121371323
United Kingdom,All,CVD,2009,0.0607575121986938
United Kingdom,All,Diabetes and CKD,2009,0.227678571428571
United Kingdom,All,Digestive diseases,2009,0.176012820369641
United Kingdom,All,Mental disorders,2009,0.0645304364619738
United Kingdom,All,Musculoskeletal disorders,2009,0.323529411764706
United Kingdom,All,Neurological disorders,2009,0.0714149161081373
United Kingdom,All,Skin disease,2009,0.0852894931557529
United Kingdom,First,All traits,2009,0.143372711403402
United Kingdom,First,Cancer,2009,0.318659420289855
United Kingdom,First,Chronic respiratory disease,2009,0.0833333333333333
United Kingdom,First,CVD,2009,0
United Kingdom,First,Diabetes and CKD,2009,0.30952380952381
United Kingdom,First,Digestive diseases,2009,0.226190476190476
United Kingdom,First,Mental disorders,2009,0.0701754385964912
